id,Season,Year,total_seas_prcp,name
ASN00040214,Winter,1912,2706,BRISBANE REGIONAL OFFICE
ASN00066062,Winter,1912,3867,SYDNEY (OBSERVATORY HILL)
ASN00086071,Winter,1912,1262,MELBOURNE REGIONAL OFFICE
ASN00094030,Winter,1912,1289,HOBART BOTANICAL GARDENS
ASN00009034,Autumn,1913,939,PERTH REGIONAL OFFICE
ASN00014163,Autumn,1913,NA,DARWIN BOTANIC GARDENS
ASN00023000,Autumn,1913,774,ADELAIDE WEST TERRACE
ASN00040214,Autumn,1913,4165,BRISBANE REGIONAL OFFICE
ASN00066062,Autumn,1913,8393,SYDNEY (OBSERVATORY HILL)
ASN00086071,Autumn,1913,2448,MELBOURNE REGIONAL OFFICE
ASN00094030,Autumn,1913,1050,HOBART BOTANICAL GARDENS
ASN00009034,Spring,1913,1850,PERTH REGIONAL OFFICE
ASN00014163,Spring,1913,NA,DARWIN BOTANIC GARDENS
ASN00023000,Spring,1913,1642,ADELAIDE WEST TERRACE
ASN00040214,Spring,1913,1263,BRISBANE REGIONAL OFFICE
ASN00066062,Spring,1913,869,SYDNEY (OBSERVATORY HILL)
ASN00086071,Spring,1913,1159,MELBOURNE REGIONAL OFFICE
ASN00094030,Spring,1913,1700,HOBART BOTANICAL GARDENS
ASN00009034,Summer,1913,462,PERTH REGIONAL OFFICE
ASN00014163,Summer,1913,NA,DARWIN BOTANIC GARDENS
ASN00023000,Summer,1913,1327,ADELAIDE WEST TERRACE
ASN00040214,Summer,1913,3146,BRISBANE REGIONAL OFFICE
ASN00066062,Summer,1913,564,SYDNEY (OBSERVATORY HILL)
ASN00086071,Summer,1913,773,MELBOURNE REGIONAL OFFICE
ASN00094030,Summer,1913,847,HOBART BOTANICAL GARDENS
ASN00009034,Winter,1913,6483,PERTH REGIONAL OFFICE
ASN00014163,Winter,1913,NA,DARWIN BOTANIC GARDENS
ASN00023000,Winter,1913,874,ADELAIDE WEST TERRACE
ASN00040214,Winter,1913,1795,BRISBANE REGIONAL OFFICE
ASN00066062,Winter,1913,4845,SYDNEY (OBSERVATORY HILL)
ASN00086071,Winter,1913,1017,MELBOURNE REGIONAL OFFICE
ASN00094030,Winter,1913,991,HOBART BOTANICAL GARDENS
ASN00009034,Autumn,1914,668,PERTH REGIONAL OFFICE
ASN00014163,Autumn,1914,NA,DARWIN BOTANIC GARDENS
ASN00023000,Autumn,1914,1071,ADELAIDE WEST TERRACE
ASN00040214,Autumn,1914,2985,BRISBANE REGIONAL OFFICE
ASN00066062,Autumn,1914,3985,SYDNEY (OBSERVATORY HILL)
ASN00086071,Autumn,1914,1517,MELBOURNE REGIONAL OFFICE
ASN00094030,Autumn,1914,1341,HOBART BOTANICAL GARDENS
ASN00009034,Spring,1914,968,PERTH REGIONAL OFFICE
ASN00014163,Spring,1914,NA,DARWIN BOTANIC GARDENS
ASN00023000,Spring,1914,715,ADELAIDE WEST TERRACE
ASN00040214,Spring,1914,991,BRISBANE REGIONAL OFFICE
ASN00066062,Spring,1914,3892,SYDNEY (OBSERVATORY HILL)
ASN00086071,Spring,1914,953,MELBOURNE REGIONAL OFFICE
ASN00094030,Spring,1914,759,HOBART BOTANICAL GARDENS
ASN00009034,Summer,1914,341,PERTH REGIONAL OFFICE
ASN00014163,Summer,1914,NA,DARWIN BOTANIC GARDENS
ASN00023000,Summer,1914,507,ADELAIDE WEST TERRACE
ASN00040214,Summer,1914,3063,BRISBANE REGIONAL OFFICE
ASN00066062,Summer,1914,2409,SYDNEY (OBSERVATORY HILL)
ASN00086071,Summer,1914,1225,MELBOURNE REGIONAL OFFICE
ASN00094030,Summer,1914,738,HOBART BOTANICAL GARDENS
ASN00009034,Winter,1914,3167,PERTH REGIONAL OFFICE
ASN00014163,Winter,1914,NA,DARWIN BOTANIC GARDENS
ASN00023000,Winter,1914,615,ADELAIDE WEST TERRACE
ASN00040214,Winter,1914,1604,BRISBANE REGIONAL OFFICE
ASN00066062,Winter,1914,4042,SYDNEY (OBSERVATORY HILL)
ASN00086071,Winter,1914,1036,MELBOURNE REGIONAL OFFICE
ASN00094030,Winter,1914,982,HOBART BOTANICAL GARDENS
ASN00009034,Autumn,1915,2151,PERTH REGIONAL OFFICE
ASN00014163,Autumn,1915,NA,DARWIN BOTANIC GARDENS
